Rank,Release Group,Worldwide,Domestic,%,Foreign,%
152,Hey Sinamika,"$521,057",-,-,"$521,057",100%
153,Rabbit Academy: Mission Eggpossible,"$520,382",-,-,"$520,382",100%
154,Milosc jest blisko,"$504,348",-,-,"$504,348",100%
155,C'era una volta il crimine,"$499,262",-,-,"$499,262",100%
156,Ek Love Ya,"$475,499",-,-,"$475,499",100%
157,Murder Party,"$453,590",-,-,"$453,590",100%
158,Fruits Basket: Prelude,"$434,280",-,-,"$434,280",100%
159,Ali & Ava,"$429,226",-,-,"$429,226",100%
160,The Chef,"$416,658",-,-,"$416,658",100%
161,"Romeo & Juliet - Roh, London 2022 (Ballet)","$407,787",-,-,"$407,787",100%
162,Reunion 2,"$404,599",-,-,"$404,599",100%
163,Petya na moyata Petya,"$402,438",-,-,"$402,438",100%
164,Den slepogo valentina,"$401,338",-,-,"$401,338",100%
165,Prior Convictions,"$394,401",-,-,"$394,401",100%
166,Betlémské svetlo,"$393,455",-,-,"$393,455",100%
167,Cuarentones,"$392,895",-,-,"$392,895",100%
168,Palmyra,"$389,281",-,-,"$389,281",100%
169,Softie,"$384,058",-,-,"$384,058",100%
170,Papy,"$368,557",-,-,"$368,557",100%
171,The Path,"$358,527",-,-,"$358,527",100%
172,Tyson's Run,"$358,100","$358,100",100%,-,-
173,Book of Love,"$354,445",-,-,"$354,445",100%
174,Nitram,"$344,826",-,-,"$344,826",100%
175,Miyuki Nakajima Live History 2007-2016,"$343,339",-,-,"$343,339",100%
176,The Best Weekend,"$342,002",-,-,"$342,002",100%
177,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%
178,Proyecto Emperador,"$326,697",-,-,"$326,697",100%
179,Un Rabón con Corazón,"$321,899",-,-,"$321,899",100%
180,Paw Patrol: Mission Xmas,"$320,402",-,-,"$320,402",100%
181,Clean,"$318,877","$318,877",100%,-,-
182,Last Looks,"$317,258",-,-,"$317,258",100%
183,L'ombra del giorno,"$308,477",-,-,"$308,477",100%
184,Candlelight Revolution,"$304,558",-,-,"$304,558",100%
185,Nobody's Hero,"$304,037",-,-,"$304,037",100%
186,Ex,"$298,884",-,-,"$298,884",100%
187,Kung Fu Zohra,"$293,188",-,-,"$293,188",100%
188,Afacanlar: Is Basa Düstü,"$282,375",-,-,"$282,375",100%
189,Three Times Nothing,"$281,810",-,-,"$281,810",100%
190,Hall,"$279,937",-,-,"$279,937",100%
191,Beyond Live Nct: Resonance,"$266,442",-,-,"$266,442",100%
192,The Sadness,"$264,927",-,-,"$264,927",100%
193,The Bunker Game,"$264,332",-,-,"$264,332",100%
194,Infinite Storm,"$262,000","$262,000",100%,-,-
195,Secret Name,"$254,609",-,-,"$254,609",100%
196,The Smurfs: Amazing Adventures,"$254,271",-,-,"$254,271",100%
197,I Want to Talk About Duras,"$250,010",-,-,"$250,010",100%
198,A Change of Heart,"$249,827",-,-,"$249,827",100%
199,Alice,"$245,568","$245,568",100%,-,-
200,Naai Sekar,"$237,861",-,-,"$237,861",100%
